2001:288::,2001:288:ffff:ffff:ffff:ffff:ffff:ffff,42540539501825152003841117041780064256,42540539581053314518105454635324014591,"AS1659 Tiawan Academic Network (TANet) Information Center"
2001:290::,2001:290:ffff:ffff:ffff:ffff:ffff:ffff,42540540135650452117955817790131666944,42540540214878614632220155383675617279,"AS9318 Hanaro Telecom Inc."
2001:298::,2001:298:ffff:ffff:ffff:ffff:ffff:ffff,42540540769475752232070518538483269632,42540540848703914746334856132027219967,"AS9600 Sony Business Solutions Corporation"
2001:2a0::,2001:2a0:ffff:ffff:ffff:ffff:ffff:ffff,42540541403301052346185219286834872320,42540541482529214860449556880378822655,"AS4716 POWEREDCOM KDDI CORPORATION"
2001:2a8::,2001:2a8:ffff:ffff:ffff:ffff:ffff:ffff,42540542037126352460299920035186475008,42540542116354514974564257628730425343,"AS7670 Energia Communications, Inc."
2001:2b8::,2001:2b8:8f:ffff:ffff:ffff:ffff:ffff,42540543304776952688529321531889680384,42540543304951038006553828133047369727,"AS17832 Korea Internet Security Agency"
2001:2b8:90::,2001:2b8:90:ffff:ffff:ffff:ffff:ffff,42540543304951038006553828133047369728,42540543304952246932373442762222075903,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:91::,2001:2b8:93:ffff:ffff:ffff:ffff:ffff,42540543304952246932373442762222075904,42540543304955873709832286649746194431,"AS17832 Korea Internet Security Agency"
2001:2b8:94::,2001:2b8:94:ffff:ffff:ffff:ffff:ffff,42540543304955873709832286649746194432,42540543304957082635651901278920900607,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:95::,2001:2b8:99:ffff:ffff:ffff:ffff:ffff,42540543304957082635651901278920900608,42540543304963127264749974424794431487,"AS17832 Korea Internet Security Agency"
2001:2b8:9a::,2001:2b8:9a:ffff:ffff:ffff:ffff:ffff,42540543304963127264749974424794431488,42540543304964336190569589053969137663,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:9b::,2001:2b8:9b:ffff:ffff:ffff:ffff:ffff,42540543304964336190569589053969137664,42540543304965545116389203683143843839,"AS17832 Korea Internet Security Agency"
2001:2b8:9c::,2001:2b8:9d:ffff:ffff:ffff:ffff:ffff,42540543304965545116389203683143843840,42540543304967962968028432941493256191,"AS1237 Korea Institute of Science and Technology Information"
